Function;Probability
CLAUSE-END;0.240567765568
Adju;0.0162545787546
Cmpl;0.090521978022
Conj;0.185531135531
Exst;0.00018315018315
Frnt;0.00119047619048
IntS;4.57875457875e-05
Intj;0.00251831501832
Loca;0.0114468864469
ModS;0.00018315018315
Modi;0.00668498168498
NCoS;0.00018315018315
NCop;0.000595238095238
Nega;0.00480769230769
Objc;0.0733058608059
PrAd;0.000732600732601
PreC;0.0360805860806
PreO;0.00819597069597
PreS;0.00338827838828
Pred;0.189880952381
Ques;9.15750915751e-05
Rela;0.0135073260073
Subj;0.102701465201
Supp;0.000595238095238
Time;0.0108058608059
